"ClinicCode","ClinicDescription"
1,"Primary Care"
2,"Primary Care"
3,"Emergency Department"
4,"Primary Care"
5,"Specialty Care"
6,"Primary Care"
7,"Emergency Department"
8,"Primary Care"
9,"Primary Care"
10,"Primary Care"
11,"Specialty Care"
12,"Emergency Department"
13,"Primary Care"
14,"Primary Care"
15,"Primary Care"
16,"Primary Care"
17,"Emergency Department"
18,"Specialty Care"
19,"Primary Care"
20,"Primary Care"
21,"Primary Care"
22,"Primary Care"
23,"Primary Care"
24,"Primary Care"
25,"Primary Care"
26,"Primary Care"
27,"Primary Care"
28,"Primary Care"
29,"Primary Care"
30,"Primary Care"
31,"Primary Care"
32,"Emergency Department"
33,"Primary Care"
34,"Primary Care"
35,"Primary Care"
36,"Specialty Care"
37,"Primary Care"
38,"Primary Care"
39,"Primary Care"
40,"Primary Care"
41,"Primary Care"
42,"Emergency Department"
43,"Primary Care"
44,"Specialty Care"
45,"Primary Care"
46,"Specialty Care"
47,"Primary Care"
48,"Specialty Care"
49,"Primary Care"
50,"Primary Care"
51,"Primary Care"
52,"Primary Care"
53,"Primary Care"
54,"Emergency Department"
55,"Emergency Department"
56,"Specialty Care"
57,"Specialty Care"
58,"Emergency Department"
59,"Specialty Care"
60,"Emergency Department"
