"DiseaseMapID","ICD10","Condition"
3692,"F1010","Alcohol"
3693,"F10120","Alcohol"
3694,"F10121","Alcohol"
3695,"F10129","Alcohol"
3696,"F1014","Alcohol"
3697,"F10150","Alcohol"
3698,"F10151","Alcohol"
3699,"F10159","Alcohol"
3700,"F10180","Alcohol"
3701,"F10181","Alcohol"
3702,"F10182","Alcohol"
3703,"F10188","Alcohol"
3704,"F1019","Alcohol"
3705,"F1020","Alcohol"
3706,"F1021","Alcohol"
3707,"F10220","Alcohol"
3708,"F10221","Alcohol"
3709,"F10229","Alcohol"
3710,"F10230","Alcohol"
3711,"F10231","Alcohol"
3712,"F10232","Alcohol"
3713,"F10239","Alcohol"
3714,"F1024","Alcohol"
3715,"F10250","Alcohol"
3716,"F10251","Alcohol"
3717,"F10259","Alcohol"
3718,"F1026","Alcohol"
3719,"F1027","Alcohol"
3720,"F10280","Alcohol"
3721,"F10281","Alcohol"
3722,"F10282","Alcohol"
3723,"F10288","Alcohol"
3724,"F1029","Alcohol"
3725,"F10921","Alcohol"
3726,"F1094","Alcohol"
3727,"F10950","Alcohol"
3728,"F10951","Alcohol"
3729,"F10959","Alcohol"
3730,"F1096","Alcohol"
3731,"F1097","Alcohol"
3732,"F10980","Alcohol"
3733,"F10981","Alcohol"
3734,"F10982","Alcohol"
3735,"F10988","Alcohol"
3736,"F1099","Alcohol"
2040,"C00","Cancer"
2041,"C000","Cancer"
2042,"C001","Cancer"
2043,"C002","Cancer"
2044,"C003","Cancer"
2045,"C004","Cancer"
2046,"C005","Cancer"
2047,"C006","Cancer"
2048,"C008","Cancer"
2049,"C009","Cancer"
2050,"C01","Cancer"
2051,"C02","Cancer"
2052,"C020","Cancer"
2053,"C021","Cancer"
2054,"C022","Cancer"
2055,"C023","Cancer"
2056,"C024","Cancer"
2057,"C028","Cancer"
2058,"C029","Cancer"
2059,"C03","Cancer"
2060,"C030","Cancer"
2061,"C031","Cancer"
2062,"C039","Cancer"
2063,"C04","Cancer"
2064,"C040","Cancer"
2065,"C041","Cancer"
2066,"C048","Cancer"
2067,"C049","Cancer"
2068,"C05","Cancer"
2069,"C050","Cancer"
2070,"C051","Cancer"
2071,"C052","Cancer"
2072,"C058","Cancer"
2073,"C059","Cancer"
2074,"C06","Cancer"
2075,"C060","Cancer"
2076,"C061","Cancer"
2077,"C062","Cancer"
2078,"C068","Cancer"
2079,"C0680","Cancer"
2080,"C0689","Cancer"
2081,"C069","Cancer"
2082,"C07","Cancer"
2083,"C08","Cancer"
2084,"C080","Cancer"
2085,"C081","Cancer"
2086,"C089","Cancer"
2087,"C09","Cancer"
2088,"C090","Cancer"
2089,"C091","Cancer"
2090,"C098","Cancer"
2091,"C099","Cancer"
2092,"C10","Cancer"
2093,"C100","Cancer"
2094,"C101","Cancer"
2095,"C102","Cancer"
2096,"C103","Cancer"
2097,"C104","Cancer"
2098,"C108","Cancer"
2099,"C109","Cancer"
2100,"C11","Cancer"
2101,"C110","Cancer"
2102,"C111","Cancer"
2103,"C112","Cancer"
2104,"C113","Cancer"
2105,"C118","Cancer"
2106,"C119","Cancer"
2107,"C12","Cancer"
2108,"C13","Cancer"
2109,"C130","Cancer"
2110,"C131","Cancer"
2111,"C132","Cancer"
2112,"C138","Cancer"
2113,"C139","Cancer"
2114,"C14","Cancer"
2115,"C140","Cancer"
2116,"C142","Cancer"
2117,"C148","Cancer"
2118,"C15","Cancer"
2119,"C153","Cancer"
2120,"C154","Cancer"
2121,"C155","Cancer"
2122,"C158","Cancer"
2123,"C159","Cancer"
2124,"C16","Cancer"
2125,"C160","Cancer"
2126,"C161","Cancer"
2127,"C162","Cancer"
2128,"C163","Cancer"
