"LookupID","UserID","CampaignID","TimeOpened","TimeClickedLink","TimeSubmitted","TimeOpenedAttachement","TimeReportedSpam","Browser","OnMobile"
1,1001516,100001,2018-03-02 15:40:19,,,,2018-03-02 19:04:02,,0
2,1001524,100001,2018-03-02 15:05:00,,,,2018-03-02 18:59:18,,1
3,1001784,100001,2018-03-02 10:40:11,,,,,,1
4,1001992,100001,2018-03-02 11:42:13,,,,,,1
5,1001256,100001,2018-03-02 14:05:19,,,,,,1
6,1000851,100001,2018-03-02 13:15:51,,,,,,0
7,1001657,100001,2018-03-02 12:19:47,,,,,,1
8,1000329,100001,2018-03-02 11:08:03,,,,2018-03-02 11:09:43,,1
9,1000985,100001,2018-03-02 13:32:05,,,,2018-03-02 17:30:52,,1
10,1000190,100001,2018-03-02 15:08:47,,,,,,1
11,1001530,100001,2018-03-02 14:19:44,,,,,,1
12,1001786,100001,2018-03-02 13:34:59,,,,2018-03-02 15:25:35,,1
13,1001701,100001,2018-03-02 12:33:09,,,2018-03-02 12:34:40,,"Other",1
14,1000055,100001,2018-03-02 11:33:33,,,,,,1
15,1001024,100001,2018-03-02 13:10:33,,,,,,1
16,1000531,100001,2018-03-02 12:02:51,,,2018-03-02 12:04:25,,"Firefox",0
17,1000858,100001,2018-03-02 12:18:58,,,,,,1
18,1000810,100001,2018-03-02 12:24:31,,,,,,0
19,1001172,100001,2018-03-02 13:57:23,,,,2018-03-02 17:55:25,,1
20,1001033,100001,2018-03-02 12:09:17,,,,,,1
21,1001234,100001,2018-03-02 11:57:40,,,,,,1
22,1000710,100001,2018-03-02 12:28:05,,,,,,1
23,1000986,100001,2018-03-02 12:50:28,,,,,,1
24,1000620,100001,,,,,,,1
25,1001554,100001,,,,,,,1
26,1000749,100001,2018-03-02 12:56:31,,,,,,0
27,1000115,100001,2018-03-02 13:45:21,,,,,,0
28,1000478,100001,2018-03-02 10:01:40,,,,,,1
29,1001049,100001,2018-03-02 12:03:53,,,,,,0
30,1001575,100001,2018-03-02 11:56:05,,,,2018-03-02 14:08:02,,0
31,1001451,100001,2018-03-02 12:48:27,,,2018-03-02 12:50:03,,"Firefox",1
32,1000351,100001,,,,,,,0
33,1001363,100001,2018-03-02 13:02:04,,,,2018-03-02 14:50:46,,1
34,1001903,100001,2018-03-02 13:38:03,,,,,,0
35,1001804,100001,2018-03-02 14:57:59,,,2018-03-02 14:59:17,,"Chrome",1
36,1000796,100001,2018-03-02 10:42:38,,,,2018-03-02 12:41:25,,1
37,1001607,100001,2018-03-02 11:31:07,,,,,,0
38,1001202,100001,2018-03-02 11:57:30,,,,2018-03-02 14:21:40,,0
39,1000610,100001,2018-03-02 14:00:05,,,2018-03-02 14:01:38,,"Firefox",0
40,1001070,100001,2018-03-02 14:26:43,,,2018-03-02 14:29:04,,"Firefox",0
41,1001291,100001,2018-03-02 12:22:18,,,,,,1
42,1001265,100001,2018-03-02 12:32:00,,,,,,0
43,1000826,100001,2018-03-02 11:16:40,,,,,,1
44,1001494,100001,2018-03-02 11:17:58,,,,,,0
45,1000549,100001,2018-03-02 12:32:28,,,,2018-03-02 14:39:54,,1
46,1001290,100001,2018-03-02 11:52:17,,,,,,1
47,1001468,100001,2018-03-02 11:48:47,,,,,,1
48,1001342,100001,2018-03-02 12:39:52,,,,,,1
49,1001595,100001,2018-03-02 12:56:01,,,,,,0
50,1000535,100001,2018-03-02 11:59:37,,,,,,0
51,1001352,100001,2018-03-02 13:28:58,,,,2018-03-02 16:20:17,,1
52,1000018,100001,2018-03-02 12:58:21,,,,,,1
53,1000772,100001,2018-03-02 10:01:40,,,,,,1
54,1001176,100001,2018-03-02 10:37:46,,,,,,1
