"ICD10","ICD10Descr"
"F10231","Alcohol dependence with withdrawal delirium"
"F1010","Alcohol abuse, uncomplicated"
"F10980","Alcohol use, unsp with alcohol-induced anxiety disorder"
"F1027","Alcohol dependence with alcohol-induced persisting dementia"
"F1020","Alcohol dependence, uncomplicated"
"F10220","Alcohol dependence with intoxication, uncomplicated"
"F10221","Alcohol dependence with intoxication delirium"
"F1026","Alcohol depend w alcoh-induce persisting amnestic disorder"
"F10981","Alcohol use, unsp with alcohol-induced sexual dysfunction"
"F10230","Alcohol dependence with withdrawal, uncomplicated"
"F10239","Alcohol dependence with withdrawal, unspecified"
"F1021","Alcohol dependence, in remission"
"F10181","Alcohol abuse with alcohol-induced sexual dysfunction"
"F10229","Alcohol dependence with intoxication, unspecified"
"F1094","Alcohol use, unspecified with alcohol-induced mood disorder"
"F10250","Alcohol depend w alcoh-induce psychotic disorder w delusions"
"F10282","Alcohol dependence with alcohol-induced sleep disorder"
"F1099","Alcohol use, unsp with unspecified alcohol-induced disorder"
"F10281","Alcohol dependence with alcohol-induced sexual dysfunction"
"F10121","Alcohol abuse with intoxication delirium"
"F10120","Alcohol abuse with intoxication, uncomplicated"
"F1096","Alcohol use, unsp w alcoh-induce persist amnestic disorder"
"F1029","Alcohol dependence with unspecified alcohol-induced disorder"
"F10988","Alcohol use, unspecified with other alcohol-induced disorder"
"F10950","Alcohol use, unsp w alcoh-induce psych disorder w delusions"
"F10150","Alcohol abuse w alcoh-induce psychotic disorder w delusions"
"F10959","Alcohol use, unsp w alcohol-induced psychotic disorder, unsp"
"F10982","Alcohol use, unspecified with alcohol-induced sleep disorder"
"F10180","Alcohol abuse with alcohol-induced anxiety disorder"
"F10182","Alcohol abuse with alcohol-induced sleep disorder"
"F10288","Alcohol dependence with other alcohol-induced disorder"
"F10951","Alcohol use, unsp w alcoh-induce psych disorder w hallucin"
"F10129","Alcohol abuse with intoxication, unspecified"
"F1097","Alcohol use, unsp with alcohol-induced persisting dementia"
"F10159","Alcohol abuse with alcohol-induced psychotic disorder, unsp"
"F1024","Alcohol dependence with alcohol-induced mood disorder"
"F10232","Alcohol dependence w withdrawal with perceptual disturbance"
"F10280","Alcohol dependence with alcohol-induced anxiety disorder"
"F10151","Alcohol abuse w alcoh-induce psychotic disorder w hallucin"
"F1014","Alcohol abuse with alcohol-induced mood disorder"
"F10921","Alcohol use, unspecified with intoxication delirium"
"F1019","Alcohol abuse with unspecified alcohol-induced disorder"
"F10188","Alcohol abuse with other alcohol-induced disorder"
"F10251","Alcohol depend w alcoh-induce psychotic disorder w hallucin"
"F10259","Alcohol dependence w alcoh-induce psychotic disorder, unsp"
"F339","Major depressive disorder, recurrent, unspecified"
"F338","Other recurrent depressive disorders"
"F328","Other depressive episodes"
"F331","Major depressive disorder, recurrent, moderate"
"F333","Major depressv disorder, recurrent, severe w psych symptoms"
"F320","Major depressive disorder, single episode, mild"
"F321","Major depressive disorder, single episode, moderate"
"F330","Major depressive disorder, recurrent, mild"
"F332","Major depressv disorder, recurrent severe w/o psych features"
"F4321","Adjustment disorder with depressed mood"
"F341","Dysthymic disorder"
"F323","Major depressv disord, single epsd, severe w psych features"
"F329","Major depressive disorder, single episode, unspecified"
"F322","Major depressv disord, single epsd, sev w/o psych features"
"C662","Malignant neoplasm of left ureter"
"C166","Malignant neoplasm of greater curvature of stomach, unsp"
"C6932","Malignant neoplasm of left choroid"
"C4912","Malig neoplm of conn and soft tiss of l upr limb, inc shldr"
"C9420","Acute megakaryoblastic leukemia not achieve remission"
"C608","Malignant neoplasm of overlapping sites of penis"
"C8377","Burkitt lymphoma, spleen"
"C812","Mixed cellularity classical Hodgkin lymphoma"
"C8196","Hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
"C50029","Malignant neoplasm of nipple and areola, unsp male breast"
"C716","Malignant neoplasm of cerebellum"
"C8265","Cutan folicl cntr lymph, nodes of ing region and lower limb"
"C847","Anaplastic large cell lymphoma, ALK-negative"
"C688","Malignant neoplasm of overlapping sites of urinary organs"
"C102","Malignant neoplasm of lateral wall of oropharynx"
"C6952","Malignant neoplasm of left lacrimal gland and duct"
"C0689","Malignant neoplasm of overlapping sites of oth prt mouth"
"C9401","Acute erythroid leukemia, in remission"
"C8177","Other classical Hodgkin lymphoma, spleen"
"C609","Malignant neoplasm of penis, unspecified"
"C91A2","Mature B-cell leukemia Burkitt-type, in relapse"
"C671","Malignant neoplasm of dome of bladder"
"C84A0","Cutaneous T-cell lymphoma, unspecified, unspecified site"
"C318","Malignant neoplasm of overlapping sites of accessory sinuses"
"C26","Malignant neoplasm of other and ill-defined digestive organs"
"C227","Other specified carcinomas of liver"
"C6300","Malignant neoplasm of unspecified epididymis"
"C380","Malignant neoplasm of heart"
"C92","Myeloid leukemia"
"C9590","Leukemia, unspecified not having achieved remission"
"C8294","Follicular lymphoma, unsp, nodes of axilla and upper limb"
"C6940","Malignant neoplasm of unspecified ciliary body"
"C8513","Unspecified B-cell lymphoma, intra-abdominal lymph nodes"
"C6202","Malignant neoplasm of undescended left testis"
"C8290","Follicular lymphoma, unspecified, unspecified site"
"C8217","Follicular lymphoma grade II, spleen"
"C50219","Malig neoplasm of upper-inner quadrant of unsp female breast"
"C763","Malignant neoplasm of pelvis"
"C8231","Foliclar lymphoma grade IIIa, nodes of head, face, and neck"
"C8373","Burkitt lymphoma, intra-abdominal lymph nodes"
"C7400","Malignant neoplasm of cortex of unspecified adrenal gland"
"C8380","Other non-follicular lymphoma, unspecified site"
"C8522","Mediastnl (thymic) large B-cell lymphoma, intrathorac nodes"
"C65","Malignant neoplasm of renal pelvis"
"C8393","Non-follic (diffuse) lymphoma, unsp, intra-abd lymph nodes"
"C41","Malignant neoplasm of bone/artic cartl of and unsp sites"
"C390","Malignant neoplasm of upper respiratory tract, part unsp"
"C7242","Malignant neoplasm of left acoustic nerve"
"C8382","Other non-follicular lymphoma, intrathoracic lymph nodes"
"C185","Malignant neoplasm of splenic flexure"
"C92A0","Acute myeloid leuk w multilin dysplasia, not achieve remis"
"C260","Malignant neoplasm of intestinal tract, part unspecified"
"C6922","Malignant neoplasm of left retina"
"C9290","Myeloid leukemia, unspecified, not having achieved remission"
"C328","Malignant neoplasm of overlapping sites of larynx"
"C8467","Anaplastic large cell lymphoma, ALK-positive, spleen"
"C7250","Malignant neoplasm of unspecified cranial nerve"
"C8595","Non-hodg lymphoma, unsp, nodes of ing region and lower limb"
"C8119","Nodlr scler class Hdgkn lymph, extrnod and solid organ sites"
"C452","Mesothelioma of pericardium"
"C541","Malignant neoplasm of endometrium"
"C6212","Malignant neoplasm of descended left testis"
"C852","Mediastinal (thymic) large B-cell lymphoma"
"C833","Diffuse large B-cell lymphoma"
"C183","Malignant neoplasm of hepatic flexure"
"C940","Acute erythroid leukemia"
"C84A5","Cutan T-cell lymph, unsp, nodes of ing region and lower limb"
"C461","Kaposi's sarcoma of soft tissue"
"C031","Malignant neoplasm of lower gum"
"C257","Malignant neoplasm of other parts of pancreas"
"C14","Malig neoplasm of sites in the lip, oral cavity and pharynx"
"C9031","Solitary plasmacytoma in remission"
"C85","Oth and unspecified types of non-Hodgkin lymphoma"
"C168","Malignant neoplasm of overlapping sites of stomach"
"C7241","Malignant neoplasm of right acoustic nerve"
"C946","Myelodysplastic disease, not classified"
"C9421","Acute megakaryoblastic leukemia, in remission"
"C9112","Chronic lymphocytic leukemia of B-cell type in relapse"
"C8315","Mantle cell lymphoma, nodes of ing region and lower limb"
"C835","Lymphoblastic (diffuse) lymphoma"
"C8469","Anaplstc lg cell lymph, ALK-pos, extrnod and solid org sites"
"C722","Malignant neoplasm of olfactory nerve"
"C75","Malignant neoplasm of endo glands and related structures"
"C9331","Juvenile myelomonocytic leukemia, in remission"
"C562","Malignant neoplasm of left ovary"
"C711","Malignant neoplasm of frontal lobe"
"C8215","Foliclar lymph grade II, nodes of ing region and lower limb"
"C9161","Prolymphocytic leukemia of T-cell type, in remission"
"C882","Heavy chain disease"
"C8111","Nodlr scler class Hdgkn lymph, nodes of head, face, and neck"
"C8171","Oth class Hodgkin lymphoma, nodes of head, face, and neck"
"C81","Hodgkin lymphoma"
"C505","Malignant neoplasm of lower-outer quadrant of breast"
"C50221","Malig neoplasm of upper-inner quadrant of right male breast"
"C383","Malignant neoplasm of mediastinum, part unspecified"
"C250","Malignant neoplasm of head of pancreas"
"C959","Leukemia, unspecified"
"C83","Non-follicular lymphoma"
"C382","Malignant neoplasm of posterior mediastinum"
"C8521","Mediastnl large B-cell lymph, nodes of head, face, and neck"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C8238","Follicular lymphoma grade IIIa, lymph nodes mult site"
"C84Z8","Oth mature T/NK-cell lymphomas, lymph nodes mult site"
"C8243","Follicular lymphoma grade IIIb, intra-abdominal lymph nodes"
"C92A","Acute myeloid leukemia with multilineage dysplasia"
"C849","Mature T/NK-cell lymphomas, unspecified"
"C8471","Anaplstc lg cell lymph, ALK-neg, nodes of head, face, and nk"
"C451","Mesothelioma of peritoneum"
"C830","Small cell B-cell lymphoma"
"C53","Malignant neoplasm of cervix uteri"
"C9302","Acute monoblastic/monocytic leukemia, in relapse"
"C8399","Non-follic lymphoma, unsp, extrnod and solid organ sites"
"C8258","Diffuse follicle center lymphoma, lymph nodes mult site"
"C8587","Other specified types of non-Hodgkin lymphoma, spleen"
"C182","Malignant neoplasm of ascending colon"
"C659","Malignant neoplasm of unspecified renal pelvis"
"C321","Malignant neoplasm of supraglottis"
"C530","Malignant neoplasm of endocervix"
"C902","Extramedullary plasmacytoma"
"C4721","Malig neoplasm of prph nerves of right lower limb, inc hip"
"C023","Malig neoplasm of anterior two-thirds of tongue, part unsp"
"C67","Malignant neoplasm of bladder"
"C74","Malignant neoplasm of adrenal gland"
"C8216","Follicular lymphoma grade II, intrapelvic lymph nodes"
"C8247","Follicular lymphoma grade IIIb, spleen"
"C50812","Malignant neoplasm of ovrlp sites of left female breast"
"C159","Malignant neoplasm of esophagus, unspecified"
"C7411","Malignant neoplasm of medulla of right adrenal gland"
"C9100","Acute lymphoblastic leukemia not having achieved remission"
"C672","Malignant neoplasm of lateral wall of bladder"
"C71","Malignant neoplasm of brain"
"C84A2","Cutaneous T-cell lymphoma, unsp, intrathoracic lymph nodes"
"C512","Malignant neoplasm of clitoris"
"C413","Malignant neoplasm of ribs, sternum and clavicle"
"C501","Malignant neoplasm of central portion of breast"
"C111","Malignant neoplasm of posterior wall of nasopharynx"
"C437","Malignant melanoma of lower limb, including hip"
"C8264","Cutan folicl center lymphoma, nodes of axilla and upper limb"
"C8240","Follicular lymphoma grade IIIb, unspecified site"
"C9502","Acute leukemia of unspecified cell type, in relapse"
"C9252","Acute myelomonocytic leukemia, in relapse"
"C252","Malignant neoplasm of tail of pancreas"
"C7221","Malignant neoplasm of right olfactory nerve"
"C751","Malignant neoplasm of pituitary gland"
"C8590","Non-Hodgkin lymphoma, unspecified, unspecified site"
"C73","Malignant neoplasm of thyroid gland"
"C950","Acute leukemia of unspecified cell type"
"C8121","Mix cellular class Hdgkn lymph, nodes of head, face, and nk"
"C051","Malignant neoplasm of soft palate"
"C8198","Hodgkin lymphoma, unspecified, lymph nodes of multiple sites"
"C8208","Follicular lymphoma grade I, lymph nodes of multiple sites"
"C4910","Malig neoplm of conn & soft tiss of unsp upr lmb, inc shldr"
"C8178","Oth classical Hodgkin lymphoma, lymph nodes mult site"
"C160","Malignant neoplasm of cardia"
"C8179","Oth class Hodgkin lymphoma, extrnod and solid organ sites"
"C823","Follicular lymphoma grade IIIa"
"C164","Malignant neoplasm of pylorus"
"C8512","Unspecified B-cell lymphoma, intrathoracic lymph nodes"
"C068","Malignant neoplasm of ovrlp sites of and unsp parts of mouth"
"C50012","Malignant neoplasm of nipple and areola, left female breast"
