 ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
 1,0.003,0.003,12.850,12.850,06_automation_and_glob.py:13(<module>)
 1752,0.003,0.000,0.003,0.000,<frozen importlib._bootstrap>:103(release)
 967,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap>:143(__init__)
 967,0.006,0.000,0.016,0.000,<frozen importlib._bootstrap>:147(__enter__)
 967,0.001,0.000,0.003,0.000,<frozen importlib._bootstrap>:151(__exit__)
 1752,0.007,0.000,0.009,0.000,<frozen importlib._bootstrap>:157(_get_module_lock)
 960,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap>:176(cb)
 785,0.001,0.000,0.005,0.000,<frozen importlib._bootstrap>:194(_lock_unlock_module)
 1017/20,0.001,0.000,0.803,0.040,<frozen importlib._bootstrap>:211(_call_with_frames_removed)
 6301,0.002,0.000,0.002,0.000,<frozen importlib._bootstrap>:222(_verbose_message)
 5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
 598,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:307(__init__)
 598,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:311(__enter__)
 598,0.002,0.000,0.004,0.000,<frozen importlib._bootstrap>:318(__exit__)
 2390,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:321(<genexpr>)
 508,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap>:35(_new_module)
 773,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap>:369(__init__)
 1101,0.001,0.000,0.008,0.000,<frozen importlib._bootstrap>:403(cached)
 2125,0.002,0.000,0.003,0.000,<frozen importlib._bootstrap>:416(parent)
 598,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:424(has_location)
 6,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:433(spec_from_loader)
 598,0.003,0.000,0.014,0.000,<frozen importlib._bootstrap>:504(_init_module_attrs)
 598/596,0.001,0.000,0.058,0.000,<frozen importlib._bootstrap>:564(module_from_spec)
 960,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap>:58(__init__)
 1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:622(_load_backward_compatible)
 599/14,0.003,0.000,0.805,0.057,<frozen importlib._bootstrap>:651(_load_unlocked)
 772,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:707(find_spec)
 5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:728(create_module)
 5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:736(exec_module)
 5,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:753(is_package)
 1752,0.004,0.000,0.004,0.000,<frozen importlib._bootstrap>:78(acquire)
 767,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap>:780(find_spec)
 2472,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap>:843(__enter__)
 2472,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap>:847(__exit__)
 166,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:861(_find_spec_legacy)
 772,0.006,0.000,0.207,0.000,<frozen importlib._bootstrap>:870(_find_spec)
 1,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap>:917(_sanity_check)
 966/20,0.007,0.000,0.824,0.041,<frozen importlib._bootstrap>:936(_find_and_load_unlocked)
 967/20,0.007,0.000,0.826,0.041,<frozen importlib._bootstrap>:966(_find_and_load)
 1,0.000,0.000,0.002,0.002,<frozen importlib._bootstrap>:982(_gcd_import)
4585/3018,0.003,0.000,0.354,0.000,<frozen importlib._bootstrap>:997(_handle_fromlist)
 70,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:1067(_path_hooks)
 1255,0.001,0.000,0.004,0.000,<frozen importlib._bootstrap_external>:1080(_path_importer_cache)
 767,0.003,0.000,0.196,0.000,<frozen importlib._bootstrap_external>:1117(_get_spec)
 767,0.001,0.000,0.197,0.000,<frozen importlib._bootstrap_external>:1149(find_spec)
 70,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:1196(__init__)
 560,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:1202(<genexpr>)
 593,0.001,0.000,0.005,0.000,<frozen importlib._bootstrap_external>:1228(_get_spec)
 1134,0.013,0.000,0.187,0.000,<frozen importlib._bootstrap_external>:1233(find_spec)
 70,0.000,0.000,0.003,0.000,<frozen importlib._bootstrap_external>:1281(_fill_cache)
 70,0.000,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
 1016,0.004,0.000,0.014,0.000,<frozen importlib._bootstrap_external>:263(cache_from_source)
 593,0.001,0.000,0.007,0.000,<frozen importlib._bootstrap_external>:361(_get_cached)
 508,0.001,0.000,0.008,0.000,<frozen importlib._bootstrap_external>:393(_check_name_wrapper)
 1134,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:41(_relax_case)
 508,0.006,0.000,0.007,0.000,<frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
 508,0.002,0.000,0.120,0.000,<frozen importlib._bootstrap_external>:485(_compile_bytecode)
 1016,0.001,0.000,0.001,0.000,<frozen importlib._bootstrap_external>:52(_r_long)
 593,0.003,0.000,0.004,0.000,<frozen importlib._bootstrap_external>:524(spec_from_file_location)
 5914,0.004,0.000,0.016,0.000,<frozen importlib._bootstrap_external>:57(_path_join)
 5914,0.008,0.000,0.010,0.000,<frozen importlib._bootstrap_external>:59(<listcomp>)
 1016,0.007,0.000,0.007,0.000,<frozen importlib._bootstrap_external>:63(_path_split)
 508,0.004,0.000,0.004,0.000,<frozen importlib._bootstrap_external>:669(create_module)
 508/14,0.002,0.000,0.804,0.057,<frozen importlib._bootstrap_external>:672(exec_module)
 508,0.004,0.000,0.164,0.000,<frozen importlib._bootstrap_external>:743(get_code)
 2533,0.001,0.000,0.151,0.000,<frozen importlib._bootstrap_external>:75(_path_stat)
 508,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:800(__init__)
 508,0.007,0.000,0.007,0.000,<frozen importlib._bootstrap_external>:825(get_filename)
 508,0.008,0.000,0.014,0.000,<frozen importlib._bootstrap_external>:830(get_data)
 508,0.001,0.000,0.002,0.000,<frozen importlib._bootstrap_external>:840(path_stats)
 891,0.001,0.000,0.006,0.000,<frozen importlib._bootstrap_external>:85(_path_is_mode_type)
 85,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:908(__init__)
 85/84,0.001,0.000,0.033,0.000,<frozen importlib._bootstrap_external>:919(create_module)
 85/70,0.000,0.000,0.069,0.001,<frozen importlib._bootstrap_external>:927(exec_module)
 821,0.001,0.000,0.006,0.000,<frozen importlib._bootstrap_external>:94(_path_isfile)
 70,0.000,0.000,0.000,0.000,<frozen importlib._bootstrap_external>:99(_path_isdir)
 1,0.000,0.000,0.000,0.000,<string>:1(<module>)
 7,0.000,0.000,0.000,0.000,<string>:12(__new__)
 1,0.000,0.000,0.000,0.000,<string>:2(<module>)
 1,0.000,0.000,0.000,0.000,<string>:2(AsyncContextManager)
 1,0.000,0.000,0.000,0.000,<string>:5(ArgInfo)
 1,0.000,0.000,0.000,0.000,<string>:5(ArgSpec)
 1,0.000,0.000,0.000,0.000,<string>:5(Arguments)
 1,0.000,0.000,0.000,0.000,<string>:5(ArrayFormula)
 1,0.000,0.000,0.000,0.000,<string>:5(Attribute)
 1,0.000,0.000,0.000,0.000,<string>:5(Blank)
 1,0.000,0.000,0.000,0.000,<string>:5(Boolean)
 1,0.000,0.000,0.000,0.000,<string>:5(Boxplot)
 1,0.000,0.000,0.000,0.000,<string>:5(ClosureVars)
 1,0.000,0.000,0.000,0.000,<string>:5(Components)
 1,0.000,0.000,0.000,0.000,<string>:5(DecimalTuple)
 1,0.000,0.000,0.000,0.000,<string>:5(DefaultVerifyPaths)
 1,0.000,0.000,0.000,0.000,<string>:5(DefragResult)
 1,0.000,0.000,0.000,0.000,<string>:5(DeprecatedOption)
 1,0.000,0.000,0.000,0.000,<string>:5(ExtType)
 1,0.000,0.000,0.000,0.000,<string>:5(Formula)
 1,0.000,0.000,0.000,0.000,<string>:5(FrameInfo)
 1,0.000,0.000,0.000,0.000,<string>:5(FullArgSpec)
 1,0.000,0.000,0.000,0.000,<string>:5(Match)
 1,0.000,0.000,0.000,0.000,<string>:5(Mismatch)
 1,0.000,0.000,0.000,0.000,<string>:5(Number)
 1,0.000,0.000,0.000,0.000,<string>:5(ParseResult)
 1,0.000,0.000,0.000,0.000,<string>:5(RegisteredOption)
 1,0.000,0.000,0.000,0.000,<string>:5(SelectorKey)
 1,0.000,0.000,0.000,0.000,<string>:5(SplitResult)
 1,0.000,0.000,0.000,0.000,<string>:5(String)
 1,0.000,0.000,0.000,0.000,<string>:5(TokenInfo)
 1,0.000,0.000,0.000,0.000,<string>:5(Traceback)
 1,0.000,0.000,0.000,0.000,<string>:5(_ASN1Object)
 1,0.000,0.000,0.000,0.000,<string>:5(_Instruction)
 1,0.000,0.000,0.000,0.000,<string>:5(_LoggingWatcher)
 1,0.000,0.000,0.000,0.000,<string>:5(uname_result)
 1,0.000,0.000,0.000,0.000,<string>:5(usage)
 1,0.000,0.000,0.000,0.000,ElementPath.py:246(_SelectorContext)
 1,0.000,0.000,0.001,0.001,ElementPath.py:59(<module>)
 1,0.000,0.000,0.000,0.000,ElementTree.py:104(ParseError)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1138(_ListDataStream)
 4,0.000,0.000,0.003,0.001,ElementTree.py:1186(parse)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1200(iterparse)
 1100,0.000,0.000,0.007,0.000,ElementTree.py:1218(iterator)
 1,0.000,0.000,0.000,0.000,ElementTree.py:123(Element)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1234(IterParseIterator)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1248(XMLPullParser)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1250(__init__)
 2,0.000,0.000,0.006,0.003,ElementTree.py:1262(feed)
 2,0.000,0.000,0.000,0.000,ElementTree.py:1272(_close_and_return_root)
 1103,0.000,0.000,0.001,0.000,ElementTree.py:1286(read_events)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1360(TreeBuilder)
 1,0.000,0.000,0.000,0.000,ElementTree.py:1435(XMLParser)
 7,0.000,0.000,0.000,0.000,ElementTree.py:1446(__init__)
 3,0.000,0.000,0.000,0.000,ElementTree.py:1488(_setevents)
 1097,0.000,0.000,0.002,0.000,ElementTree.py:1506(handler)
 4615,0.001,0.000,0.001,0.000,ElementTree.py:1527(_fixname)
 1524,0.002,0.000,0.003,0.000,ElementTree.py:1538(_start)
 1524,0.001,0.000,0.001,0.000,ElementTree.py:1550(_end)
 12,0.000,0.000,0.000,0.000,ElementTree.py:1553(_default)
 6,0.000,0.000,0.008,0.001,ElementTree.py:1621(feed)
 6,0.000,0.000,0.000,0.000,ElementTree.py:1628(close)
